id;annee;;age;remuneration;Indice.prix.base.100.2015;Taux.remplacement.liquidation;Indice;Indice.non.pct;Remu.nette.deflatee;Facteur.net
Cas 1 gen 1996 ageLiq 64;2052;122800,7;56;240239,6;195,60%;40,85%;;195,63;98240,56;
Cas 1 gen 1996 ageLiq 64;2053;124918,3;57;248659;199,10%;40,85%;;199,06;99934,64;
Cas 1 gen 1996 ageLiq 64;2054;126664,4;58;256547;202,50%;40,85%;;202,54;101331,52;
Cas 1 gen 1996 ageLiq 64;2055;127647,4;59;263062,5;206,10%;40,85%;;206,09;102117,92;
Cas 1 gen 1996 ageLiq 64;2056;129625,7;60;271814,6;209,70%;40,85%;;209,69;103700,56;
Cas 1 gen 1996 ageLiq 64;2057;131387,8;61;280330,8;213,40%;40,85%;;213,36;105110,24;
Cas 1 gen 1996 ageLiq 64;2058;133054,3;62;288854,5;217,10%;40,85%;;217,1;106443,44;
Cas 1 gen 1996 ageLiq 64;2059;134699,1;63;297542,8;220,90%;40,85%;;220,89;107759,28;
Cas 1 gen 1996 ageLiq 64;2060;136520,1;64;306842,6;224,80%;40,85%;;224,76;109216,08;
Cas 1 gen 1997 ageLiq 64;2021;20825;24;22168,3;106,50%;40,77%;;106,45;16660;
Cas 1 gen 1997 ageLiq 64;2022;21080,7;25;23612,5;112,00%;40,77%;;112,01;16864,56;
Cas 1 gen 1997 ageLiq 64;2023;39478,8;26;46375,8;117,50%;40,77%;;117,47;31583,04;
Cas 1 gen 1997 ageLiq 64;2024;43704,6;27;52623,2;120,40%;40,77%;;120,41;34963,68;
Cas 1 gen 1997 ageLiq 64;2025;47216,1;28;57823,5;122,50%;40,77%;;122,47;37772,88;
Cas 1 gen 1997 ageLiq 64;2026;50804,8;29;63307,3;124,60%;40,77%;;124,61;40643,84;
Cas 1 gen 1997 ageLiq 64;2027;54300,2;30;68847;126,80%;40,77%;;126,79;43440,16;
Cas 1 gen 1997 ageLiq 64;2028;56630;31;73057,5;129,00%;40,77%;;129,01;45304;
Cas 1 gen 1997 ageLiq 64;2029;60672,3;32;79642,1;131,30%;40,77%;;131,27;48537,84;
Cas 1 gen 1997 ageLiq 64;2030;64415;33;86034,7;133,60%;40,77%;;133,56;51532;
Cas 1 gen 1997 ageLiq 64;2031;68147,2;34;92612,4;135,90%;40,77%;;135,9;54517,76;
Cas 1 gen 1997 ageLiq 64;2032;71407,9;35;98741,9;138,30%;40,77%;;138,28;57126,32;
Cas 1 gen 1997 ageLiq 64;2033;72600,3;36;102147,6;140,70%;40,77%;;140,7;58080,24;
Cas 1 gen 1997 ageLiq 64;2034;73898,7;37;105794,1;143,20%;40,77%;;143,16;59118,96;
Cas 1 gen 1997 ageLiq 64;2035;75092,1;38;109383,7;145,70%;40,77%;;145,67;60073,68;
Cas 1 gen 1997 ageLiq 64;2036;75705,3;39;112206,8;148,20%;40,77%;;148,22;60564,24;
Cas 1 gen 1997 ageLiq 64;2037;77690,5;40;117164,4;150,80%;40,77%;;150,81;62152,4;
Cas 1 gen 1997 ageLiq 64;2038;82059,7;41;125919,2;153,50%;40,77%;;153,45;65647,76;
Cas 1 gen 1997 ageLiq 64;2039;83761,4;42;130779,7;156,10%;40,77%;;156,13;67009,12;
Cas 1 gen 1997 ageLiq 64;2040;86469,9;43;137371,2;158,90%;40,77%;;158,87;69175,92;
Cas 1 gen 1997 ageLiq 64;2041;89553,5;44;144759,7;161,70%;40,77%;;161,65;71642,8;
Cas 1 gen 1997 ageLiq 64;2042;90081,5;45;148161,5;164,50%;40,77%;;164,47;72065,2;
Cas 1 gen 1997 ageLiq 64;2043;93299,9;46;156140,3;167,40%;40,77%;;167,35;74639,92;
Cas 1 gen 1997 ageLiq 64;2044;96023,7;47;163511;170,30%;40,77%;;170,28;76818,96;
Cas 1 gen 1997 ageLiq 64;2045;98838,3;48;171249;173,30%;40,77%;;173,26;79070,64;
Cas 1 gen 1997 ageLiq 64;2046;102972,3;49;181533,8;176,30%;40,77%;;176,29;82377,84;
Cas 1 gen 1997 ageLiq 64;2047;106108,7;50;190336,7;179,40%;40,77%;;179,38;84886,96;
Cas 1 gen 1997 ageLiq 64;2048;110851,4;51;202323,9;182,50%;40,77%;;182,52;88681,12;
Cas 1 gen 1997 ageLiq 64;2049;116159,5;52;215722,4;185,70%;40,77%;;185,71;92927,6;
Cas 1 gen 1997 ageLiq 64;2050;119711,6;53;226209,6;189,00%;40,77%;;188,96;95769,28;
Cas 1 gen 1997 ageLiq 64;2051;124373,2;54;239131,2;192,30%;40,77%;;192,27;99498,56;
Cas 1 gen 1997 ageLiq 64;2052;121590;55;237871;195,60%;40,77%;;195,63;97272;
Cas 1 gen 1997 ageLiq 64;2053;124402,3;56;247632;199,10%;40,77%;;199,06;99521,84;
Cas 1 gen 1997 ageLiq 64;2054;126547,4;57;256310,2;202,50%;40,77%;;202,54;101237,92;
Cas 1 gen 1997 ageLiq 64;2055;128315,7;58;264439,7;206,10%;40,77%;;206,09;102652,56;
Cas 1 gen 1997 ageLiq 64;2056;129312,1;59;271156,9;209,70%;40,77%;;209,69;103449,68;
Cas 1 gen 1997 ageLiq 64;2057;131313,5;60;280172,4;213,40%;40,77%;;213,36;105050,8;
Cas 1 gen 1997 ageLiq 64;2058;133097,9;61;288949,2;217,10%;40,77%;;217,1;106478,32;
Cas 1 gen 1997 ageLiq 64;2059;134785,5;62;297733,7;220,90%;40,77%;;220,89;107828,4;
Cas 1 gen 1997 ageLiq 64;2060;136451,3;63;306688;224,80%;40,77%;;224,76;109161,04;
Cas 1 gen 1997 ageLiq 64;2061;138295,8;64;316273,3;228,70%;40,77%;;228,69;110636,64;
Cas 1 gen 1998 ageLiq 64;2022;20765,8;24;23259,8;112,00%;40,71%;;112,01;16612,64;
Cas 1 gen 1998 ageLiq 64;2023;21016,5;25;24688,1;117,50%;40,71%;;117,47;16813,2;
Cas 1 gen 1998 ageLiq 64;2024;39585,4;26;47663,5;120,40%;40,71%;;120,41;31668,32;
Cas 1 gen 1998 ageLiq 64;2025;43973,4;27;53852,3;122,50%;40,71%;;122,47;35178,72;
Cas 1 gen 1998 ageLiq 64;2026;47471,3;28;59153,5;124,60%;40,71%;;124,61;37977,04;
Cas 1 gen 1998 ageLiq 64;2027;50969,6;29;64624,1;126,80%;40,71%;;126,79;40775,68;
Cas 1 gen 1998 ageLiq 64;2028;54881,9;30;70802,2;129,00%;40,71%;;129,01;43905,52;
Cas 1 gen 1998 ageLiq 64;2029;57337,3;31;75264,3;131,30%;40,71%;;131,27;45869,84;
Cas 1 gen 1998 ageLiq 64;2030;61358,1;32;81951,8;133,60%;40,71%;;133,56;49086,48;
Cas 1 gen 1998 ageLiq 64;2031;65072;33;88433,2;135,90%;40,71%;;135,9;52057,6;
Cas 1 gen 1998 ageLiq 64;2032;68772;34;95097,1;138,30%;40,71%;;138,28;55017,6;
Cas 1 gen 1998 ageLiq 64;2033;72221,6;35;101614,8;140,70%;40,71%;;140,7;57777,28;
Cas 1 gen 1998 ageLiq 64;2034;73441,9;36;105140,1;143,20%;40,71%;;143,16;58753,52;
Cas 1 gen 1998 ageLiq 64;2035;74770,5;37;108915,3;145,70%;40,71%;;145,67;59816,4;
Cas 1 gen 1998 ageLiq 64;2036;76001,3;38;112645,6;148,20%;40,71%;;148,22;60801,04;
Cas 1 gen 1998 ageLiq 64;2037;76637,5;39;115576,3;150,80%;40,71%;;150,81;61310;
Cas 1 gen 1998 ageLiq 64;2038;78662,5;40;120706,2;153,50%;40,71%;;153,45;62930;
Cas 1 gen 1998 ageLiq 64;2039;83110,5;41;129763,5;156,10%;40,71%;;156,13;66488,4;
Cas 1 gen 1998 ageLiq 64;2040;84851,3;42;134799,8;158,90%;40,71%;;158,87;67881,04;
Cas 1 gen 1998 ageLiq 64;2041;87595,1;43;141594,1;161,70%;40,71%;;161,65;70076,08;
Cas 1 gen 1998 ageLiq 64;2042;90719,1;44;149210,1;164,50%;40,71%;;164,47;72575,28;
Cas 1 gen 1998 ageLiq 64;2043;91254,1;45;152716,6;167,40%;40,71%;;167,35;73003,28;
Cas 1 gen 1998 ageLiq 64;2044;94514,3;46;160940,7;170,30%;40,71%;;170,28;75611,44;
Cas 1 gen 1998 ageLiq 64;2045;97273,9;47;168538,4;173,30%;40,71%;;173,26;77819,12;
Cas 1 gen 1998 ageLiq 64;2046;100125,9;48;176515,8;176,30%;40,71%;;176,29;80100,72;
Cas 1 gen 1998 ageLiq 64;2047;104314;49;187117,4;179,40%;40,71%;;179,38;83451,2;
Cas 1 gen 1998 ageLiq 64;2048;107491,6;50;196191,7;182,50%;40,71%;;182,52;85993,28;
Cas 1 gen 1998 ageLiq 64;2049;112296,4;51;208548,2;185,70%;40,71%;;185,71;89837,12;
Cas 1 gen 1998 ageLiq 64;2050;117674,2;52;222359,7;189,00%;40,71%;;188,96;94139,36;
Cas 1 gen 1998 ageLiq 64;2051;121272,8;53;233170;192,30%;40,71%;;192,27;97018,24;
Cas 1 gen 1998 ageLiq 64;2052;125995,2;54;246489,1;195,60%;40,71%;;195,63;100796,16;
Cas 1 gen 1998 ageLiq 64;2053;123175,8;55;245190,5;199,10%;40,71%;;199,06;98540,64;
Cas 1 gen 1998 ageLiq 64;2054;126024,7;56;255251,5;202,50%;40,71%;;202,54;100819,76;
Cas 1 gen 1998 ageLiq 64;2055;128197,2;57;264195,6;206,10%;40,71%;;206,09;102557,76;
Cas 1 gen 1998 ageLiq 64;2056;129989,1;58;272576,5;209,70%;40,71%;;209,69;103991,28;
Cas 1 gen 1998 ageLiq 64;2057;130995,8;59;279494,5;213,40%;40,71%;;213,36;104796,64;
Cas 1 gen 1998 ageLiq 64;2058;133022,7;60;288786;217,10%;40,71%;;217,1;106418,16;
Cas 1 gen 1998 ageLiq 64;2059;134829,7;61;297831,4;220,90%;40,71%;;220,89;107863,76;
Cas 1 gen 1998 ageLiq 64;2060;136538,9;62;306884,8;224,80%;40,71%;;224,76;109231,12;
Cas 1 gen 1998 ageLiq 64;2061;138226,1;63;316114;228,70%;40,71%;;228,69;110580,88;
Cas 1 gen 1998 ageLiq 64;2062;140094,5;64;325993,6;232,70%;40,71%;;232,7;112075,6;
Cas 1 gen 1999 ageLiq 64;2023;20702,5;24;24319,3;117,50%;40,67%;;117,47;16562;
Cas 1 gen 1999 ageLiq 64;2024;21073,2;25;25373,6;120,40%;40,67%;;120,41;16858,56;
Cas 1 gen 1999 ageLiq 64;2025;39828,9;26;48776,8;122,50%;40,67%;;122,47;31863,12;
Cas 1 gen 1999 ageLiq 64;2026;44211,1;27;55090,9;124,60%;40,67%;;124,61;35368,88;
Cas 1 gen 1999 ageLiq 64;2027;47625,3;28;60383,9;126,80%;40,67%;;126,79;38100,24;
Cas 1 gen 1999 ageLiq 64;2028;51515,6;29;66459,4;129,00%;40,67%;;129,01;41212,48;
Cas 1 gen 1999 ageLiq 64;2029;55567,3;30;72941;131,30%;40,67%;;131,27;44453,84;
Cas 1 gen 1999 ageLiq 64;2030;57985,4;31;77447,1;133,60%;40,67%;;133,56;46388,32;
Cas 1 gen 1999 ageLiq 64;2031;61984;32;84236,5;135,90%;40,67%;;135,9;49587,2;
Cas 1 gen 1999 ageLiq 64;2032;65668,7;33;90805,8;138,30%;40,67%;;138,28;52534,96;
Cas 1 gen 1999 ageLiq 64;2033;69555,7;34;97863,9;140,70%;40,67%;;140,7;55644,56;
Cas 1 gen 1999 ageLiq 64;2034;73058,9;35;104591,7;143,20%;40,67%;;143,16;58447,12;
Cas 1 gen 1999 ageLiq 64;2035;74308,3;36;108242;145,70%;40,67%;;145,67;59446,64;
Cas 1 gen 1999 ageLiq 64;2036;75675,8;37;112163,2;148,20%;40,67%;;148,22;60540,64;
Cas 1 gen 1999 ageLiq 64;2037;76937,2;38;116028,3;150,80%;40,67%;;150,81;61549,76;
Cas 1 gen 1999 ageLiq 64;2038;77596,2;39;119070,1;153,50%;40,67%;;153,45;62076,96;
Cas 1 gen 1999 ageLiq 64;2039;79669,8;40;124391,3;156,10%;40,67%;;156,13;63735,84;
Cas 1 gen 1999 ageLiq 64;2040;84192;41;133752,3;158,90%;40,67%;;158,87;67353,6;
Cas 1 gen 1999 ageLiq 64;2041;85955,5;42;138943,6;161,70%;40,67%;;161,65;68764,4;
Cas 1 gen 1999 ageLiq 64;2042;88735,2;43;145947,1;164,50%;40,67%;;164,47;70988,16;
Cas 1 gen 1999 ageLiq 64;2043;91899,9;44;153797,5;167,40%;40,67%;;167,35;73519,92;
Cas 1 gen 1999 ageLiq 64;2044;92441,9;45;157411,8;170,30%;40,67%;;170,28;73953,52;
Cas 1 gen 1999 ageLiq 64;2045;95744,8;46;165889,2;173,30%;40,67%;;173,26;76595,84;
Cas 1 gen 1999 ageLiq 64;2046;98541,1;47;173721,9;176,30%;40,67%;;176,29;78832,88;
Cas 1 gen 1999 ageLiq 64;2047;101430,5;48;181945,1;179,40%;40,67%;;179,38;81144,4;
Cas 1 gen 1999 ageLiq 64;2048;105673,5;49;192873,3;182,50%;40,67%;;182,52;84538,8;
Cas 1 gen 1999 ageLiq 64;2049;108892,8;50;202227,3;185,70%;40,67%;;185,71;87114,24;
Cas 1 gen 1999 ageLiq 64;2050;113760,7;51;214964,7;189,00%;40,67%;;188,96;91008,56;
Cas 1 gen 1999 ageLiq 64;2051;119208,8;52;229201,6;192,30%;40,67%;;192,27;95367,04;
Cas 1 gen 1999 ageLiq 64;2052;122854,3;53;240344,4;195,60%;40,67%;;195,63;98283,44;
Cas 1 gen 1999 ageLiq 64;2053;127638,5;54;254073,7;199,10%;40,67%;;199,06;102110,8;
Cas 1 gen 1999 ageLiq 64;2054;124782,2;55;252735;202,50%;40,67%;;202,54;99825,76;
Cas 1 gen 1999 ageLiq 64;2055;127667,7;56;263104,4;206,10%;40,67%;;206,09;102134,16;
Cas 1 gen 1999 ageLiq 64;2056;129869,1;57;272324,8;209,70%;40,67%;;209,69;103895,28;
Cas 1 gen 1999 ageLiq 64;2057;131681,6;58;280957,8;213,40%;40,67%;;213,36;105345,28;
Cas 1 gen 1999 ageLiq 64;2058;132700,9;59;288087,3;217,10%;40,67%;;217,1;106160,72;
Cas 1 gen 1999 ageLiq 64;2059;134753,6;60;297663,1;220,90%;40,67%;;220,89;107802,88;
Cas 1 gen 1999 ageLiq 64;2060;136583,7;61;306985,5;224,80%;40,67%;;224,76;109266,96;
Cas 1 gen 1999 ageLiq 64;2061;138314,8;62;316316,8;228,70%;40,67%;;228,69;110651,84;
Cas 1 gen 1999 ageLiq 64;2062;140023,9;63;325829,3;232,70%;40,67%;;232,7;112019,12;
Cas 1 gen 1999 ageLiq 64;2063;141916,2;64;336011,7;236,80%;40,67%;;236,77;113532,96;
Cas 1 gen 2000 ageLiq 64;2024;20758,4;24;24994,6;120,40%;40,62%;;120,41;16606,72;
Cas 1 gen 2000 ageLiq 64;2025;21202,8;25;25966,2;122,50%;40,62%;;122,47;16962,24;
Cas 1 gen 2000 ageLiq 64;2026;40044,2;26;49898,7;124,60%;40,62%;;124,61;32035,36;
Cas 1 gen 2000 ageLiq 64;2027;44354,5;27;56236,8;126,80%;40,62%;;126,79;35483,6;
Cas 1 gen 2000 ageLiq 64;2028;48135,5;28;62098,8;129,00%;40,62%;;129,01;38508,4;
Cas 1 gen 2000 ageLiq 64;2029;52158,9;29;68466,9;131,30%;40,62%;;131,27;41727,12;
Cas 1 gen 2000 ageLiq 64;2030;56195,4;30;75056,4;133,60%;40,62%;;133,56;44956,32;
Cas 1 gen 2000 ageLiq 64;2031;58576,8;31;79606,2;135,90%;40,62%;;135,9;46861,44;
Cas 1 gen 2000 ageLiq 64;2032;62552,3;32;86496,5;138,30%;40,62%;;138,28;50041,84;
Cas 1 gen 2000 ageLiq 64;2033;66417;33;93447,8;140,70%;40,62%;;140,7;53133,6;
Cas 1 gen 2000 ageLiq 64;2034;70362,1;34;100731;143,20%;40,62%;;143,16;56289,68;
Cas 1 gen 2000 ageLiq 64;2035;73920,7;35;107677,4;145,70%;40,62%;;145,67;59136,56;
Cas 1 gen 2000 ageLiq 64;2036;75208;36;111469,8;148,20%;40,62%;;148,22;60166,4;
Cas 1 gen 2000 ageLiq 64;2037;76607,7;37;115531,3;150,80%;40,62%;;150,81;61286,16;
Cas 1 gen 2000 ageLiq 64;2038;77899,7;38;119535,8;153,50%;40,62%;;153,45;62319,76;
Cas 1 gen 2000 ageLiq 64;2039;78589,9;39;122705,3;156,10%;40,62%;;156,13;62871,92;
Cas 1 gen 2000 ageLiq 64;2040;80706,5;40;128215,1;158,90%;40,62%;;158,87;64565,2;
Cas 1 gen 2000 ageLiq 64;2041;85287,6;41;137864;161,70%;40,62%;;161,65;68230,08;
Cas 1 gen 2000 ageLiq 64;2042;87074,2;42;143215,2;164,50%;40,62%;;164,47;69659,36;
Cas 1 gen 2000 ageLiq 64;2043;89890,3;43;150434,2;167,40%;40,62%;;167,35;71912,24;
Cas 1 gen 2000 ageLiq 64;2044;93096,2;44;158525,9;170,30%;40,62%;;170,28;74476,96;
Cas 1 gen 2000 ageLiq 64;2045;93645,4;45;162251,7;173,30%;40,62%;;173,26;74916,32;
Cas 1 gen 2000 ageLiq 64;2046;96992,1;46;170991,1;176,30%;40,62%;;176,29;77593,68;
Cas 1 gen 2000 ageLiq 64;2047;99825,1;47;179065,2;179,40%;40,62%;;179,38;79860,08;
Cas 1 gen 2000 ageLiq 64;2048;102752,5;48;187541,9;182,50%;40,62%;;182,52;82202;
Cas 1 gen 2000 ageLiq 64;2049;107051;49;198806,9;185,70%;40,62%;;185,71;85640,8;
Cas 1 gen 2000 ageLiq 64;2050;110312,7;50;208449,4;189,00%;40,62%;;188,96;88250,16;
Cas 1 gen 2000 ageLiq 64;2051;115244,3;51;221579,1;192,30%;40,62%;;192,27;92195,44;
Cas 1 gen 2000 ageLiq 64;2052;120763,4;52;236253,9;195,60%;40,62%;;195,63;96610,72;
Cas 1 gen 2000 ageLiq 64;2053;124456,6;53;247740;199,10%;40,62%;;199,06;99565,28;
Cas 1 gen 2000 ageLiq 64;2054;129303;54;261891,5;202,50%;40,62%;;202,54;103442,4;
Cas 1 gen 2000 ageLiq 64;2055;126409;55;260510,4;206,10%;40,62%;;206,09;101127,2;
Cas 1 gen 2000 ageLiq 64;2056;129332,7;56;271200;209,70%;40,62%;;209,69;103466,16;
Cas 1 gen 2000 ageLiq 64;2057;131560,1;57;280698,4;213,40%;40,62%;;213,36;105248,08;
Cas 1 gen 2000 ageLiq 64;2058;133395,6;58;289595,5;217,10%;40,62%;;217,1;106716,48;
Cas 1 gen 2000 ageLiq 64;2059;134427,5;59;296942,9;220,90%;40,62%;;220,89;107542;
Cas 1 gen 2000 ageLiq 64;2060;136506,5;60;306812,1;224,80%;40,62%;;224,76;109205,2;
Cas 1 gen 2000 ageLiq 64;2061;138360,2;61;316420,6;228,70%;40,62%;;228,69;110688,16;
Cas 1 gen 2000 ageLiq 64;2062;140113,8;62;326038,4;232,70%;40,62%;;232,7;112091,04;
Cas 1 gen 2000 ageLiq 64;2063;141844,7;63;335842,4;236,80%;40,62%;;236,77;113475,76;
Cas 1 gen 2000 ageLiq 64;2064;143761,8;64;346338,1;240,90%;40,62%;;240,91;115009,44;
Cas 2 gen 1980 ageLiq 64;2004;19912,9;24;17184,8;86,30%;64,92%;;86,3;15930,32;
Cas 2 gen 1980 ageLiq 64;2005;20338,6;25;17877,6;87,90%;64,92%;;87,9;16270,88;
Cas 2 gen 1980 ageLiq 64;2006;21072,4;26;18824;89,30%;64,92%;;89,33;16857,92;
Cas 2 gen 1980 ageLiq 64;2007;21746,5;27;19715,4;90,70%;64,92%;;90,66;17397,2;
Cas 2 gen 1980 ageLiq 64;2008;22188,6;28;20682;93,20%;64,92%;;93,21;17750,88;
Cas 2 gen 1980 ageLiq 64;2009;22499,4;29;20989,7;93,30%;64,92%;;93,29;17999,52;
Cas 2 gen 1980 ageLiq 64;2010;23151,5;30;21926,8;94,70%;64,92%;;94,71;18521,2;
Cas 2 gen 1980 ageLiq 64;2011;23088,4;31;22328,8;96,70%;64,92%;;96,71;18470,72;
Cas 2 gen 1980 ageLiq 64;2012;23122,5;32;22798,8;98,60%;64,92%;;98,6;18498;
Cas 2 gen 1980 ageLiq 64;2013;23141,8;33;23016,8;99,50%;64,92%;;99,46;18513,44;
Cas 2 gen 1980 ageLiq 64;2014;23250,7;34;23241,4;100,00%;64,92%;;99,96;18600,56;
Cas 2 gen 1980 ageLiq 64;2015;23692,3;35;23692,3;100,00%;64,92%;;100;18953,84;
Cas 2 gen 1980 ageLiq 64;2016;24077,5;36;24120,9;100,20%;64,92%;;100,18;19262;
Cas 2 gen 1980 ageLiq 64;2017;24494,7;37;24793,5;101,20%;64,92%;;101,22;19595,76;
Cas 2 gen 1980 ageLiq 64;2018;24623,3;38;25384,2;103,10%;64,92%;;103,09;19698,64;
Cas 2 gen 1980 ageLiq 64;2019;24879;39;25931,4;104,20%;64,92%;;104,23;19903,2;
Cas 2 gen 1980 ageLiq 64;2020;23877,5;40;25007;104,70%;64,92%;;104,73;19102;
Cas 2 gen 1980 ageLiq 64;2021;24584,4;41;26170,1;106,50%;64,92%;;106,45;19667,52;
Cas 2 gen 1980 ageLiq 64;2022;24594,7;42;27548,6;112,00%;64,92%;;112,01;19675,76;
Cas 2 gen 1980 ageLiq 64;2023;24633,9;43;28937,4;117,50%;64,92%;;117,47;19707,12;
Cas 2 gen 1980 ageLiq 64;2024;24800,5;44;29862,3;120,40%;64,92%;;120,41;19840,4;
Cas 2 gen 1980 ageLiq 64;2025;24957,2;45;30565,1;122,50%;64,92%;;122,47;19965,76;
Cas 2 gen 1980 ageLiq 64;2026;25205,2;46;31408,2;124,60%;64,92%;;124,61;20164,16;
Cas 2 gen 1980 ageLiq 64;2027;25325,1;47;32109,7;126,80%;64,92%;;126,79;20260,08;
Cas 2 gen 1980 ageLiq 64;2028;25636,9;48;33074,2;129,00%;64,92%;;129,01;20509,52;
Cas 2 gen 1980 ageLiq 64;2029;26017,2;49;34152,8;131,30%;64,92%;;131,27;20813,76;
Cas 2 gen 1980 ageLiq 64;2030;26395,3;50;35253,6;133,60%;64,92%;;133,56;21116,24;
Cas 2 gen 1980 ageLiq 64;2031;27014;51;36712;135,90%;64,92%;;135,9;21611,2;
Cas 2 gen 1980 ageLiq 64;2032;27731,7;52;38347,3;138,30%;64,92%;;138,28;22185,36;
Cas 2 gen 1980 ageLiq 64;2033;28177,6;53;39645,8;140,70%;64,92%;;140,7;22542,08;
Cas 2 gen 1980 ageLiq 64;2034;29001,7;54;41518,9;143,20%;64,92%;;143,16;23201,36;
Cas 2 gen 1980 ageLiq 64;2035;28777,5;55;41920,2;145,70%;64,92%;;145,67;23022;
Cas 2 gen 1980 ageLiq 64;2036;29266,8;56;43379,3;148,20%;64,92%;;148,22;23413,44;
Cas 2 gen 1980 ageLiq 64;2037;29681,7;57;44763;150,80%;64,92%;;150,81;23745,36;
Cas 2 gen 1980 ageLiq 64;2038;30086,4;58;46167,6;153,50%;64,92%;;153,45;24069,12;
Cas 2 gen 1980 ageLiq 64;2039;30383,1;59;47437,2;156,10%;64,92%;;156,13;24306,48;
Cas 2 gen 1980 ageLiq 64;2040;30813,9;60;48954,1;158,90%;64,92%;;158,87;24651,12;
Cas 2 gen 1980 ageLiq 64;2041;31224,2;61;50473,9;161,70%;64,92%;;161,65;24979,36;
Cas 2 gen 1980 ageLiq 64;2042;31629,6;62;52021,2;164,50%;64,92%;;164,47;25303,68;
Cas 2 gen 1980 ageLiq 64;2043;32028,7;63;53600;167,40%;64,92%;;167,35;25622,96;
Cas 2 gen 1980 ageLiq 64;2044;32453,6;64;55262,1;170,30%;64,92%;;170,28;25962,88;
Cas 2 gen 1981 ageLiq 64;2005;20034,8;24;17610,6;87,90%;64,57%;;87,9;16027,84;
Cas 2 gen 1981 ageLiq 64;2006;20665,5;25;18460,5;89,30%;64,57%;;89,33;16532,4;
Cas 2 gen 1981 ageLiq 64;2007;21294,5;26;19305,6;90,70%;64,57%;;90,66;17035,6;
Cas 2 gen 1981 ageLiq 64;2008;21647,9;27;20178;93,20%;64,57%;;93,21;17318,32;
Cas 2 gen 1981 ageLiq 64;2009;22170,7;28;20683;93,30%;64,57%;;93,29;17736,56;
Cas 2 gen 1981 ageLiq 64;2010;22752;29;21548,4;94,70%;64,57%;;94,71;18201,6;
Cas 2 gen 1981 ageLiq 64;2011;22960;30;22204,6;96,70%;64,57%;;96,71;18368;
Cas 2 gen 1981 ageLiq 64;2012;22983,5;31;22661,8;98,60%;64,57%;;98,6;18386,8;
Cas 2 gen 1981 ageLiq 64;2013;23054,9;32;22930,4;99,50%;64,57%;;99,46;18443,92;
Cas 2 gen 1981 ageLiq 64;2014;23179,6;33;23170,4;100,00%;64,57%;;99,96;18543,68;
Cas 2 gen 1981 ageLiq 64;2015;23520,7;34;23520,7;100,00%;64,57%;;100;18816,56;
Cas 2 gen 1981 ageLiq 64;2016;23941,2;35;23984,3;100,20%;64,57%;;100,18;19152,96;
Cas 2 gen 1981 ageLiq 64;2017;24306;36;24602,6;101,20%;64,57%;;101,22;19444,8;
Cas 2 gen 1981 ageLiq 64;2018;24439,1;37;25194,3;103,10%;64,57%;;103,09;19551,28;
Cas 2 gen 1981 ageLiq 64;2019;24811,5;38;25861;104,20%;64,57%;;104,23;19849,2;
Cas 2 gen 1981 ageLiq 64;2020;23871,5;39;25000,7;104,70%;64,57%;;104,73;19097,2;
Cas 2 gen 1981 ageLiq 64;2021;24485,8;40;26065,1;106,50%;64,57%;;106,45;19588,64;
Cas 2 gen 1981 ageLiq 64;2022;24514,5;41;27458,7;112,00%;64,57%;;112,01;19611,6;
Cas 2 gen 1981 ageLiq 64;2023;24519,8;42;28803,4;117,50%;64,57%;;117,47;19615,84;
Cas 2 gen 1981 ageLiq 64;2024;24699,7;43;29740,9;120,40%;64,57%;;120,41;19759,76;
Cas 2 gen 1981 ageLiq 64;2025;24952,9;44;30559,8;122,50%;64,57%;;122,47;19962,32;
Cas 2 gen 1981 ageLiq 64;2026;25092,8;45;31268,1;124,60%;64,57%;;124,61;20074,24;
Cas 2 gen 1981 ageLiq 64;2027;25287,1;46;32061,5;126,80%;64,57%;;126,79;20229,68;
Cas 2 gen 1981 ageLiq 64;2028;25596,2;47;33021,7;129,00%;64,57%;;129,01;20476,96;
Cas 2 gen 1981 ageLiq 64;2029;25956,6;48;34073,2;131,30%;64,57%;;131,27;20765,28;
Cas 2 gen 1981 ageLiq 64;2030;26312,8;49;35143,3;133,60%;64,57%;;133,56;21050,24;
Cas 2 gen 1981 ageLiq 64;2031;26664;50;36236,4;135,90%;64,57%;;135,9;21331,2;
Cas 2 gen 1981 ageLiq 64;2032;27261,4;51;37697;138,30%;64,57%;;138,28;21809,12;
Cas 2 gen 1981 ageLiq 64;2033;28047,7;52;39463,1;140,70%;64,57%;;140,7;22438,16;
Cas 2 gen 1981 ageLiq 64;2034;28504,7;53;40807,3;143,20%;64,57%;;143,16;22803,76;
Cas 2 gen 1981 ageLiq 64;2035;29342,9;54;42743,8;145,70%;64,57%;;145,67;23474,32;
Cas 2 gen 1981 ageLiq 64;2036;29125,8;55;43170,3;148,20%;64,57%;;148,22;23300,64;
Cas 2 gen 1981 ageLiq 64;2037;29628;56;44682;150,80%;64,57%;;150,81;23702,4;
Cas 2 gen 1981 ageLiq 64;2038;30052,9;57;46116,2;153,50%;64,57%;;153,45;24042,32;
Cas 2 gen 1981 ageLiq 64;2039;30472,8;58;47577,1;156,10%;64,57%;;156,13;24378,24;
Cas 2 gen 1981 ageLiq 64;2040;30777;59;48895,4;158,90%;64,57%;;158,87;24621,6;
Cas 2 gen 1981 ageLiq 64;2041;31214,9;60;50459;161,70%;64,57%;;161,65;24971,92;
