id;annee;;age;remuneration;Indice.prix.base.100.2015;Taux.remplacement.liquidation;Indice;Indice.non.pct;Remu.nette.deflatee;Facteur.net
Cas 1 gen 1992 ageLiq 64;2021;50383,8;29;53633,6;106,50%;41,15%;;106,45;40307,04;
Cas 1 gen 1992 ageLiq 64;2022;53523,6;30;59951,8;112,00%;41,15%;;112,01;42818,88;
Cas 1 gen 1992 ageLiq 64;2023;55060,1;31;64679,1;117,50%;41,15%;;117,47;44048,08;
Cas 1 gen 1992 ageLiq 64;2024;58420;32;70341,7;120,40%;41,15%;;120,41;46736;
Cas 1 gen 1992 ageLiq 64;2025;61707,8;33;75570,9;122,50%;41,15%;;122,47;49366,24;
Cas 1 gen 1992 ageLiq 64;2026;64973,3;34;80962,5;124,60%;41,15%;;124,61;51978,64;
Cas 1 gen 1992 ageLiq 64;2027;67682,4;35;85814,2;126,80%;41,15%;;126,79;54145,92;
Cas 1 gen 1992 ageLiq 64;2028;68766,1;36;88714;129,00%;41,15%;;129,01;55012,88;
Cas 1 gen 1992 ageLiq 64;2029;70057,9;37;91962,3;131,30%;41,15%;;131,27;56046,32;
Cas 1 gen 1992 ageLiq 64;2030;71154,7;38;95036,4;133,60%;41,15%;;133,56;56923,76;
Cas 1 gen 1992 ageLiq 64;2031;71600,3;39;97305,2;135,90%;41,15%;;135,9;57280,24;
Cas 1 gen 1992 ageLiq 64;2032;73249,7;40;101288,8;138,30%;41,15%;;138,28;58599,76;
Cas 1 gen 1992 ageLiq 64;2033;77283,9;41;108737,4;140,70%;41,15%;;140,7;61827,12;
Cas 1 gen 1992 ageLiq 64;2034;78792,2;42;112799,5;143,20%;41,15%;;143,16;63033,76;
Cas 1 gen 1992 ageLiq 64;2035;81242,3;43;118342,6;145,70%;41,15%;;145,67;64993,84;
Cas 1 gen 1992 ageLiq 64;2036;84064,4;44;124596,3;148,20%;41,15%;;148,22;67251,52;
Cas 1 gen 1992 ageLiq 64;2037;84501,5;45;127435,9;150,80%;41,15%;;150,81;67601,2;
Cas 1 gen 1992 ageLiq 64;2038;87476,8;46;134231,5;153,50%;41,15%;;153,45;69981,44;
Cas 1 gen 1992 ageLiq 64;2039;90011,9;47;140538,8;156,10%;41,15%;;156,13;72009,52;
Cas 1 gen 1992 ageLiq 64;2040;92649,5;48;147188,5;158,90%;41,15%;;158,87;74119,6;
Cas 1 gen 1992 ageLiq 64;2041;96523,3;49;156026,1;161,70%;41,15%;;161,65;77218,64;
Cas 1 gen 1992 ageLiq 64;2042;99461,9;50;163589,8;164,50%;41,15%;;164,47;79569,52;
Cas 1 gen 1992 ageLiq 64;2043;103905,8;51;173889,7;167,40%;41,15%;;167,35;83124,64;
Cas 1 gen 1992 ageLiq 64;2044;108879,3;52;185401,8;170,30%;41,15%;;170,28;87103,44;
Cas 1 gen 1992 ageLiq 64;2045;112206,5;53;194411;173,30%;41,15%;;173,26;89765,2;
Cas 1 gen 1992 ageLiq 64;2046;116574,3;54;205513,4;176,30%;41,15%;;176,29;93259,44;
Cas 1 gen 1992 ageLiq 64;2047;113964,4;55;204428,1;179,40%;41,15%;;179,38;91171,52;
Cas 1 gen 1992 ageLiq 64;2048;116599,2;56;212814,8;182,50%;41,15%;;182,52;93279,36;
Cas 1 gen 1992 ageLiq 64;2049;118609,1;57;220271,6;185,70%;41,15%;;185,71;94887,28;
Cas 1 gen 1992 ageLiq 64;2050;120266,7;58;227258,6;189,00%;41,15%;;188,96;96213,36;
Cas 1 gen 1992 ageLiq 64;2051;121200,7;59;233031,3;192,30%;41,15%;;192,27;96960,56;
Cas 1 gen 1992 ageLiq 64;2052;123079;60;240784;195,60%;41,15%;;195,63;98463,2;
Cas 1 gen 1992 ageLiq 64;2053;124754,7;61;248333,4;199,10%;41,15%;;199,06;99803,76;
Cas 1 gen 1992 ageLiq 64;2054;126340,3;62;255890,6;202,50%;41,15%;;202,54;101072,24;
Cas 1 gen 1992 ageLiq 64;2055;127905,3;63;263593,9;206,10%;41,15%;;206,09;102324,24;
Cas 1 gen 1992 ageLiq 64;2056;129638,6;64;271841,6;209,70%;41,15%;;209,69;103710,88;
Cas 1 gen 1993 ageLiq 64;2017;21052,1;24;21308,9;101,20%;41,07%;;101,22;16841,68;
Cas 1 gen 1993 ageLiq 64;2018;21322,8;25;21981,7;103,10%;41,07%;;103,09;17058,24;
Cas 1 gen 1993 ageLiq 64;2019;40360,3;26;42067,6;104,20%;41,07%;;104,23;32288,24;
Cas 1 gen 1993 ageLiq 64;2020;42755,7;27;44778,1;104,70%;41,07%;;104,73;34204,56;
Cas 1 gen 1993 ageLiq 64;2021;47078;28;50114,5;106,50%;41,07%;;106,45;37662,4;
Cas 1 gen 1993 ageLiq 64;2022;50240,6;29;56274,5;112,00%;41,07%;;112,01;40192,48;
Cas 1 gen 1993 ageLiq 64;2023;53360,5;30;62682,6;117,50%;41,07%;;117,47;42688,4;
Cas 1 gen 1993 ageLiq 64;2024;55208,8;31;66475,1;120,40%;41,07%;;120,41;44167,04;
Cas 1 gen 1993 ageLiq 64;2025;58779,4;32;71984,6;122,50%;41,07%;;122,47;47023,52;
